year,month,state,value
2020,October,North Dakota,3.9
2020,September,North Dakota,4.6
2020,August,North Dakota,5.4
2020,July,North Dakota,6.1
2020,June,North Dakota,6.8
2020,May,North Dakota,7.5
2020,April,North Dakota,8.4
2020,March,North Dakota,3.0
2020,February,North Dakota,2.5
2020,January,North Dakota,2.7
2023,October,Ohio,3.5
2023,September,Ohio,3.5
2023,August,Ohio,3.7
2023,July,Ohio,3.4
2023,June,Ohio,3.8
2023,May,Ohio,3.4
2023,April,Ohio,3.2
2023,March,Ohio,4.0
2023,February,Ohio,4.2
2023,January,Ohio,4.1
2022,December,Ohio,3.5
2022,November,Ohio,3.4
2022,October,Ohio,3.7
2022,September,Ohio,3.7
2022,August,Ohio,4.2
2022,July,Ohio,4.3
2022,June,Ohio,4.4
2022,May,Ohio,3.7
2022,April,Ohio,3.7
2022,March,Ohio,4.3
2022,February,Ohio,4.7
2022,January,Ohio,4.8
2021,December,Ohio,3.5
2021,November,Ohio,3.6
2021,October,Ohio,3.9
2021,September,Ohio,4.3
2021,August,Ohio,4.8
2021,July,Ohio,5.4
2021,June,Ohio,6.0
2021,May,Ohio,5.1
2021,April,Ohio,5.5
2021,March,Ohio,6.0
2021,February,Ohio,6.5
2021,January,Ohio,6.8
2020,December,Ohio,5.9
2020,November,Ohio,5.7
2020,October,Ohio,6.2
2020,September,Ohio,7.6
2020,August,Ohio,8.1
2020,July,Ohio,10.1
2020,June,Ohio,11.4
2020,May,Ohio,13.4
2020,April,Ohio,15.9
2020,March,Ohio,5.3
2020,February,Ohio,4.7
2020,January,Ohio,5.1
2023,October,Oklahoma,3.4
2023,September,Oklahoma,3.4
2023,August,Oklahoma,3.3
2023,July,Oklahoma,3.1
2023,June,Oklahoma,3.0
2023,May,Oklahoma,2.9
2023,April,Oklahoma,2.2
2023,March,Oklahoma,2.9
2023,February,Oklahoma,3.1
2023,January,Oklahoma,3.2
2022,December,Oklahoma,2.6
2022,November,Oklahoma,2.9
2022,October,Oklahoma,3.1
2022,September,Oklahoma,3.0
2022,August,Oklahoma,3.3
2022,July,Oklahoma,3.1
2022,June,Oklahoma,3.4
2022,May,Oklahoma,3.0
2022,April,Oklahoma,2.6
2022,March,Oklahoma,2.8
2022,February,Oklahoma,3.2
2022,January,Oklahoma,3.2
2021,December,Oklahoma,2.5
2021,November,Oklahoma,2.7
2021,October,Oklahoma,3.0
2021,September,Oklahoma,3.0
2021,August,Oklahoma,3.7
2021,July,Oklahoma,4.2
2021,June,Oklahoma,5.0
2021,May,Oklahoma,4.4
2021,April,Oklahoma,4.6
2021,March,Oklahoma,4.4
2021,February,Oklahoma,5.2
2021,January,Oklahoma,5.3
2020,December,Oklahoma,5.1
2020,November,Oklahoma,5.2
2020,October,Oklahoma,5.2
2020,September,Oklahoma,5.8
2020,August,Oklahoma,6.1
2020,July,Oklahoma,7.6
2020,June,Oklahoma,8.5
2020,May,Oklahoma,10.0
2020,April,Oklahoma,12.1
2020,March,Oklahoma,3.6
2020,February,Oklahoma,3.2
2020,January,Oklahoma,3.3
2023,October,Oregon,3.3
2023,September,Oregon,3.5
2023,August,Oregon,3.8
2023,July,Oregon,3.8
2023,June,Oregon,3.5
2023,May,Oregon,3.2
2023,April,Oregon,2.8
2023,March,Oregon,3.6
2023,February,Oregon,4.6
2023,January,Oregon,5.0
2022,December,Oregon,4.6
2022,November,Oregon,4.5
2022,October,Oregon,4.5
2022,September,Oregon,4.2
2022,August,Oregon,4.7
2022,July,Oregon,4.3
2022,June,Oregon,4.1
2022,May,Oregon,3.4
2022,April,Oregon,3.6
2022,March,Oregon,4.0
2022,February,Oregon,4.0
2022,January,Oregon,4.4
2021,December,Oregon,3.6
2021,November,Oregon,3.6
2021,October,Oregon,3.8
2021,September,Oregon,4.3
2021,August,Oregon,5.0
2021,July,Oregon,5.1
2021,June,Oregon,5.8
2021,May,Oregon,5.3
2021,April,Oregon,5.8
2021,March,Oregon,6.6
2021,February,Oregon,6.7
2021,January,Oregon,7.1
2020,December,Oregon,6.3
2020,November,Oregon,6.0
2020,October,Oregon,6.3
2020,September,Oregon,7.3
2020,August,Oregon,7.8
2020,July,Oregon,9.7
2020,June,Oregon,10.3
2020,May,Oregon,11.7
2020,April,Oregon,13.5
2020,March,Oregon,4.7
2020,February,Oregon,3.7
2020,January,Oregon,3.9
2023,October,Pennsylvania,3.2
2023,September,Pennsylvania,3.1
2023,August,Pennsylvania,4.3
2023,July,Pennsylvania,3.8
2023,June,Pennsylvania,3.8
2023,May,Pennsylvania,3.6
2023,April,Pennsylvania,3.2
2023,March,Pennsylvania,3.8
2023,February,Pennsylvania,4.6
2023,January,Pennsylvania,4.5
2022,December,Pennsylvania,3.8
2022,November,Pennsylvania,3.9
2022,October,Pennsylvania,3.9
2022,September,Pennsylvania,3.9
2022,August,Pennsylvania,5.2
2022,July,Pennsylvania,4.9
2022,June,Pennsylvania,4.7
2022,May,Pennsylvania,4.1
2022,April,Pennsylvania,4.0
2022,March,Pennsylvania,4.3
2022,February,Pennsylvania,4.7
2022,January,Pennsylvania,4.9
2021,December,Pennsylvania,3.8
2021,November,Pennsylvania,4.2
2021,October,Pennsylvania,4.8
2021,September,Pennsylvania,5.1
2021,August,Pennsylvania,6.3
2021,July,Pennsylvania,6.7
2021,June,Pennsylvania,6.7
2021,May,Pennsylvania,6.2
2021,April,Pennsylvania,6.3
2021,March,Pennsylvania,6.8
2021,February,Pennsylvania,7.4
2021,January,Pennsylvania,7.6
2020,December,Pennsylvania,7.9
2020,November,Pennsylvania,7.4
2020,October,Pennsylvania,7.5
2020,September,Pennsylvania,8.6
2020,August,Pennsylvania,9.4
2020,July,Pennsylvania,11.4
2020,June,Pennsylvania,12.0
2020,May,Pennsylvania,13.0
2020,April,Pennsylvania,15.2
2020,March,Pennsylvania,5.4
2020,February,Pennsylvania,4.7
2020,January,Pennsylvania,4.8
2023,October,Rhode Island,2.8
2023,September,Rhode Island,2.3
2023,August,Rhode Island,3.1
2023,July,Rhode Island,2.4
2023,June,Rhode Island,3.0
2023,May,Rhode Island,2.8
2023,April,Rhode Island,2.5
2023,March,Rhode Island,3.6
2023,February,Rhode Island,3.9
2023,January,Rhode Island,3.6
2022,December,Rhode Island,2.3
2022,November,Rhode Island,3.0
2022,October,Rhode Island,2.7
2022,September,Rhode Island,2.9
2022,August,Rhode Island,4.0
2022,July,Rhode Island,3.3
2022,June,Rhode Island,2.9
2022,May,Rhode Island,2.8
2022,April,Rhode Island,2.8
2022,March,Rhode Island,3.2
2022,February,Rhode Island,4.1
2022,January,Rhode Island,4.2
2021,December,Rhode Island,3.2
2021,November,Rhode Island,3.8
2021,October,Rhode Island,4.0
2021,September,Rhode Island,4.6
2021,August,Rhode Island,6.1
2021,July,Rhode Island,6.1
2021,June,Rhode Island,6.3
2021,May,Rhode Island,5.8
2021,April,Rhode Island,5.6
2021,March,Rhode Island,6.0
2021,February,Rhode Island,7.1
2021,January,Rhode Island,7.5
2020,December,Rhode Island,6.8
2020,November,Rhode Island,6.5
2020,October,Rhode Island,6.0
2020,September,Rhode Island,9.2
2020,August,Rhode Island,10.5
2020,July,Rhode Island,12.1
2020,June,Rhode Island,12.8
2020,May,Rhode Island,15.9
2020,April,Rhode Island,17.8
2020,March,Rhode Island,4.8
2020,February,Rhode Island,4.1
2020,January,Rhode Island,4.0
2023,October,South Carolina,3.0
2023,September,South Carolina,2.6
2023,August,South Carolina,2.4
2023,July,South Carolina,3.5
2023,June,South Carolina,3.5
2023,May,South Carolina,2.8
2023,April,South Carolina,2.4
2023,March,South Carolina,3.4
2023,February,South Carolina,3.7
2023,January,South Carolina,3.5
2022,December,South Carolina,3.0
2022,November,South Carolina,2.8
2022,October,South Carolina,3.3
2022,September,South Carolina,3.0
2022,August,South Carolina,3.5
2022,July,South Carolina,3.4
2022,June,South Carolina,3.5
2022,May,South Carolina,3.0
2022,April,South Carolina,2.6
2022,March,South Carolina,3.2
2022,February,South Carolina,3.8
2022,January,South Carolina,3.9
2021,December,South Carolina,3.2
2021,November,South Carolina,3.1
2021,October,South Carolina,3.3
2021,September,South Carolina,3.3
2021,August,South Carolina,4.1
2021,July,South Carolina,4.3
2021,June,South Carolina,4.5
2021,May,South Carolina,3.6
2021,April,South Carolina,3.7
2021,March,South Carolina,4.3
2021,February,South Carolina,4.8
2021,January,South Carolina,5.1
2020,December,South Carolina,5.0
2020,November,South Carolina,4.8
2020,October,South Carolina,5.0
2020,September,South Carolina,5.6
2020,August,South Carolina,6.1
2020,July,South Carolina,7.4
2020,June,South Carolina,8.0
2020,May,South Carolina,9.2
2020,April,South Carolina,11.1
2020,March,South Carolina,3.4
2020,February,South Carolina,3.2
2020,January,South Carolina,3.2
2023,October,South Dakota,2.1
2023,September,South Dakota,1.7
2023,August,South Dakota,2.0
2023,July,South Dakota,1.7
2023,June,South Dakota,2.0
2023,May,South Dakota,1.9
2023,April,South Dakota,2.0
2023,March,South Dakota,1.8
2023,February,South Dakota,2.5
2023,January,South Dakota,2.1
2022,December,South Dakota,2.2
2022,November,South Dakota,1.9
2022,October,South Dakota,2.0
2022,September,South Dakota,1.7
2022,August,South Dakota,2.3
2022,July,South Dakota,1.8
2022,June,South Dakota,2.2
2022,May,South Dakota,1.9
2022,April,South Dakota,2.0
2022,March,South Dakota,2.2
2022,February,South Dakota,2.5
2022,January,South Dakota,2.3
2021,December,South Dakota,2.1
2021,November,South Dakota,1.9
2021,October,South Dakota,2.2
2021,September,South Dakota,2.0
2021,August,South Dakota,2.7
2021,July,South Dakota,2.4
2021,June,South Dakota,3.0
2021,May,South Dakota,2.6
2021,April,South Dakota,3.0
2021,March,South Dakota,3.1
2021,February,South Dakota,3.5
2021,January,South Dakota,3.2
2020,December,South Dakota,3.4
2020,November,South Dakota,3.0
2020,October,South Dakota,2.9
2020,September,South Dakota,3.4
2020,August,South Dakota,4.1
2020,July,South Dakota,4.5
2020,June,South Dakota,5.1
2020,May,South Dakota,6.6
2020,April,South Dakota,8.9
2020,March,South Dakota,3.1
2020,February,South Dakota,2.9
2020,January,South Dakota,2.8
2023,October,Tennessee,3.6
2023,September,Tennessee,3.4
2023,August,Tennessee,3.4
2023,July,Tennessee,3.6
2023,June,Tennessee,3.8
2023,May,Tennessee,3.2
2023,April,Tennessee,2.6
2023,March,Tennessee,3.1
2023,February,Tennessee,3.6
2023,January,Tennessee,3.5
2022,December,Tennessee,2.9
2022,November,Tennessee,3.2
2022,October,Tennessee,3.4
2022,September,Tennessee,3.2
2022,August,Tennessee,3.6
2022,July,Tennessee,3.7
2022,June,Tennessee,4.0
2022,May,Tennessee,3.2
2022,April,Tennessee,3.1
2022,March,Tennessee,3.2
2022,February,Tennessee,3.5
2022,January,Tennessee,3.7
2021,December,Tennessee,3.1
2021,November,Tennessee,3.2
2021,October,Tennessee,3.5
2021,September,Tennessee,3.8
2021,August,Tennessee,4.4
2021,July,Tennessee,4.9
2021,June,Tennessee,5.6
2021,May,Tennessee,4.6
2021,April,Tennessee,4.7
2021,March,Tennessee,5.2
2021,February,Tennessee,5.3
2021,January,Tennessee,5.6
2020,December,Tennessee,5.4
2020,November,Tennessee,5.4
2020,October,Tennessee,6.0
2020,September,Tennessee,6.9
2020,August,Tennessee,7.8
2020,July,Tennessee,10.1
2020,June,Tennessee,10.8
2020,May,Tennessee,11.8
2020,April,Tennessee,15.0
2020,March,Tennessee,3.9
2020,February,Tennessee,3.4
2020,January,Tennessee,3.7
2023,October,Texas,3.8
2023,September,Texas,4.1
2023,August,Texas,4.5
2023,July,Texas,4.5
2023,June,Texas,4.2
2023,May,Texas,4.1
2023,April,Texas,3.7
2023,March,Texas,4.2
2023,February,Texas,4.5
2023,January,Texas,4.2
2022,December,Texas,3.5
2022,November,Texas,3.7
2022,October,Texas,3.7
2022,September,Texas,3.7
2022,August,Texas,3.9
2022,July,Texas,4.0
2022,June,Texas,4.2
2022,May,Texas,3.6
2022,April,Texas,3.5
2022,March,Texas,3.8
2022,February,Texas,4.3
2022,January,Texas,4.7
2021,December,Texas,4.1
2021,November,Texas,4.4
2021,October,Texas,4.7
2021,September,Texas,5.0
2021,August,Texas,5.5
2021,July,Texas,5.8
2021,June,Texas,6.4
2021,May,Texas,5.7
2021,April,Texas,5.9
2021,March,Texas,6.4
2021,February,Texas,6.8
2021,January,Texas,7.0
2020,December,Texas,6.7
2020,November,Texas,6.8
2020,October,Texas,6.7
2020,September,Texas,7.7
2020,August,Texas,7.9
2020,July,Texas,9.7
2020,June,Texas,10.4
2020,May,Texas,11.8
2020,April,Texas,12.3
2020,March,Texas,5.4
2020,February,Texas,3.5
2020,January,Texas,3.7
2023,October,Utah,2.6
2023,September,Utah,2.6
2023,August,Utah,3.0
2023,July,Utah,2.7
2023,June,Utah,2.7
2023,May,Utah,2.5
2023,April,Utah,2.2
2023,March,Utah,2.4
2023,February,Utah,2.6
2023,January,Utah,2.6
2022,December,Utah,2.1
2022,November,Utah,2.2
2022,October,Utah,2.2
2022,September,Utah,2.1
2022,August,Utah,2.5
2022,July,Utah,2.3
2022,June,Utah,2.6
2022,May,Utah,2.2
2022,April,Utah,2.2
2022,March,Utah,2.3
2022,February,Utah,2.5
2022,January,Utah,2.5
2021,December,Utah,1.9
2021,November,Utah,2.0
2021,October,Utah,2.0
2021,September,Utah,2.1
2021,August,Utah,2.8
2021,July,Utah,2.8
2021,June,Utah,3.1
2021,May,Utah,2.7
2021,April,Utah,3.0
2021,March,Utah,3.2
2021,February,Utah,3.6
2021,January,Utah,3.6
2020,December,Utah,3.4
2020,November,Utah,3.5
2020,October,Utah,3.7
2020,September,Utah,4.3
2020,August,Utah,4.9
2020,July,Utah,5.9
2020,June,Utah,6.6
2020,May,Utah,7.8
2020,April,Utah,9.8
2020,March,Utah,3.0
2020,February,Utah,2.7
2020,January,Utah,2.7
2023,October,Vermont,1.8
2023,September,Vermont,2.0
2023,August,Vermont,2.2
2023,July,Vermont,1.8
2023,June,Vermont,2.1
2023,May,Vermont,1.7
2023,April,Vermont,1.9
2023,March,Vermont,2.4
2023,February,Vermont,2.8
2023,January,Vermont,2.8
2022,December,Vermont,2.7
2022,November,Vermont,2.8
2022,October,Vermont,2.3
2022,September,Vermont,2.7
2022,August,Vermont,2.8
2022,July,Vermont,2.6
2022,June,Vermont,2.9
2022,May,Vermont,2.2
2022,April,Vermont,2.5
2022,March,Vermont,2.5
2022,February,Vermont,2.7
2022,January,Vermont,3.1
2021,December,Vermont,2.4
2021,November,Vermont,2.5
2021,October,Vermont,2.3
2021,September,Vermont,3.2
2021,August,Vermont,3.4
2021,July,Vermont,3.5
2021,June,Vermont,4.1
2021,May,Vermont,3.9
2021,April,Vermont,4.7
2021,March,Vermont,4.8
2021,February,Vermont,4.9
2021,January,Vermont,5.0
2020,December,Vermont,4.2
2020,November,Vermont,3.7
2020,October,Vermont,3.3
2020,September,Vermont,4.8
2020,August,Vermont,5.2
2020,July,Vermont,7.0
2020,June,Vermont,8.2
2020,May,Vermont,10.8
2020,April,Vermont,13.8
2020,March,Vermont,2.5
2020,February,Vermont,2.1
2020,January,Vermont,2.4
2023,October,Virginia,3.0
2023,September,Virginia,3.0
2023,August,Virginia,3.1
2023,July,Virginia,2.7
2023,June,Virginia,2.8
2023,May,Virginia,2.7
2023,April,Virginia,2.5
2023,March,Virginia,2.8
2023,February,Virginia,2.9
2023,January,Virginia,3.3
2022,December,Virginia,2.6
2022,November,Virginia,3.0
2022,October,Virginia,2.9
2022,September,Virginia,3.0
2022,August,Virginia,3.3
2022,July,Virginia,3.0
2022,June,Virginia,2.9
2022,May,Virginia,2.9
2022,April,Virginia,2.4
2022,March,Virginia,2.7
2022,February,Virginia,2.7
2022,January,Virginia,2.9
2021,December,Virginia,2.7
2021,November,Virginia,2.2
2021,October,Virginia,3.1
2021,September,Virginia,3.4
2021,August,Virginia,4.0
2021,July,Virginia,4.3
2021,June,Virginia,4.7
2021,May,Virginia,4.3
2021,April,Virginia,4.1
2021,March,Virginia,4.5
2021,February,Virginia,4.7
2021,January,Virginia,4.9
2020,December,Virginia,4.4
2020,November,Virginia,4.9
2020,October,Virginia,5.3
2020,September,Virginia,6.2
2020,August,Virginia,7.6
2020,July,Virginia,9.2
2020,June,Virginia,10.1
2020,May,Virginia,9.9
2020,April,Virginia,11.1
2020,March,Virginia,3.2
2020,February,Virginia,2.7
2020,January,Virginia,3.0
2023,October,Washington,4.0
2023,September,Washington,3.6
2023,August,Washington,4.0
2023,July,Washington,3.5
2023,June,Washington,3.3
2023,May,Washington,3.3
2023,April,Washington,3.5
2023,March,Washington,4.2
2023,February,Washington,4.9
2023,January,Washington,5.0
2022,December,Washington,4.6
2022,November,Washington,4.4
2022,October,Washington,4.2
2022,September,Washington,4.0
2022,August,Washington,4.5
2022,July,Washington,4.0
2022,June,Washington,4.0
2022,May,Washington,3.8
2022,April,Washington,3.7
2022,March,Washington,4.2
2022,February,Washington,4.5
2022,January,Washington,4.7
2021,December,Washington,3.8
2021,November,Washington,3.8
2021,October,Washington,4.1
2021,September,Washington,4.5
2021,August,Washington,5.1
2021,July,Washington,5.3
2021,June,Washington,5.5
2021,May,Washington,5.1
2021,April,Washington,5.3
2021,March,Washington,6.2
2021,February,Washington,6.7
2021,January,Washington,7.0
2020,December,Washington,6.8
2020,November,Washington,6.5
2020,October,Washington,6.5
2020,September,Washington,7.6
2020,August,Washington,8.4
2020,July,Washington,10.5
2020,June,Washington,11.4
2020,May,Washington,13.7
2020,April,Washington,16.0
2020,March,Washington,5.7
2020,February,Washington,3.9
2020,January,Washington,4.3
2023,October,West Virginia,3.7
2023,September,West Virginia,3.8
2023,August,West Virginia,4.4
2023,July,West Virginia,3.8
2023,June,West Virginia,3.9
2023,May,West Virginia,3.3
2023,April,West Virginia,3.4
2023,March,West Virginia,3.6
2023,February,West Virginia,3.7
2023,January,West Virginia,4.2
2022,December,West Virginia,3.4
2022,November,West Virginia,3.4
2022,October,West Virginia,3.4
2022,September,West Virginia,3.2
2022,August,West Virginia,4.3
2022,July,West Virginia,4.1
2022,June,West Virginia,4.3
2022,May,West Virginia,3.5
2022,April,West Virginia,3.7
2022,March,West Virginia,4.2
2022,February,West Virginia,4.8
2022,January,West Virginia,4.6
2021,December,West Virginia,3.5
2021,November,West Virginia,3.5
2021,October,West Virginia,3.6
2021,September,West Virginia,3.9
2021,August,West Virginia,4.9
2021,July,West Virginia,5.1
2021,June,West Virginia,5.7
2021,May,West Virginia,5.3
2021,April,West Virginia,5.8
2021,March,West Virginia,6.4
2021,February,West Virginia,6.9
2021,January,West Virginia,6.8
2020,December,West Virginia,6.1
2020,November,West Virginia,5.8
2020,October,West Virginia,6.0
2020,September,West Virginia,7.1
2020,August,West Virginia,8.0
2020,July,West Virginia,9.6
2020,June,West Virginia,10.1
2020,May,West Virginia,12.7
2020,April,West Virginia,15.6
2020,March,West Virginia,6.6
2020,February,West Virginia,5.9
2020,January,West Virginia,5.8
2023,October,Wisconsin,3.0
2023,September,Wisconsin,3.2
2023,August,Wisconsin,3.7
2023,July,Wisconsin,3.2
2023,June,Wisconsin,3.4
2023,May,Wisconsin,2.7
2023,April,Wisconsin,2.3
2023,March,Wisconsin,2.5
2023,February,Wisconsin,2.8
2023,January,Wisconsin,2.7
2022,December,Wisconsin,2.2
2022,November,Wisconsin,2.5
2022,October,Wisconsin,2.6
2022,September,Wisconsin,2.8
2022,August,Wisconsin,3.2
2022,July,Wisconsin,3.1
2022,June,Wisconsin,3.5
2022,May,Wisconsin,2.8
2022,April,Wisconsin,2.8
2022,March,Wisconsin,3.1
2022,February,Wisconsin,3.3
2022,January,Wisconsin,3.2
2021,December,Wisconsin,2.4
2021,November,Wisconsin,2.5
2021,October,Wisconsin,2.7
2021,September,Wisconsin,3.1
2021,August,Wisconsin,3.7
2021,July,Wisconsin,3.9
2021,June,Wisconsin,4.5
2021,May,Wisconsin,4.1
2021,April,Wisconsin,4.3
2021,March,Wisconsin,4.8
2021,February,Wisconsin,5.1
2021,January,Wisconsin,4.7
2020,December,Wisconsin,4.5
2020,November,Wisconsin,4.4
2020,October,Wisconsin,4.5
2020,September,Wisconsin,5.5
2020,August,Wisconsin,6.1
2020,July,Wisconsin,8.0
2020,June,Wisconsin,8.7
2020,May,Wisconsin,10.5
2020,April,Wisconsin,14.1
2020,March,Wisconsin,3.8
2020,February,Wisconsin,3.3
2020,January,Wisconsin,3.3
2023,October,Wyoming,2.5
2023,September,Wyoming,2.5
2023,August,Wyoming,2.7
2023,July,Wyoming,2.8
2023,June,Wyoming,2.9
2023,May,Wyoming,2.7
2023,April,Wyoming,3.3
2023,March,Wyoming,4.1
2023,February,Wyoming,4.0
2023,January,Wyoming,4.3
2022,December,Wyoming,3.6
2022,November,Wyoming,3.6
2022,October,Wyoming,3.4
2022,September,Wyoming,3.2
2022,August,Wyoming,3.4
2022,July,Wyoming,3.3
2022,June,Wyoming,3.7
2022,May,Wyoming,3.4
2022,April,Wyoming,3.4
2022,March,Wyoming,3.7
2022,February,Wyoming,3.9
2022,January,Wyoming,4.3
2021,December,Wyoming,3.4
2021,November,Wyoming,3.6
2021,October,Wyoming,3.5
2021,September,Wyoming,3.5
2021,August,Wyoming,4.0
2021,July,Wyoming,4.4
2021,June,Wyoming,5.1
2021,May,Wyoming,4.9
2021,April,Wyoming,5.2
2021,March,Wyoming,5.6
2021,February,Wyoming,6.3
2021,January,Wyoming,6.1
2020,December,Wyoming,5.2
2020,November,Wyoming,5.0
2020,October,Wyoming,4.6
2020,September,Wyoming,5.5
2020,August,Wyoming,5.5
2020,July,Wyoming,6.9
2020,June,Wyoming,7.7
2020,May,Wyoming,8.9
2020,April,Wyoming,5.1
2020,March,Wyoming,6.2
2020,February,Wyoming,4.9
2020,January,Wyoming,4.9
2023,October,Puerto Rico,5.5
2023,September,Puerto Rico,5.6
2023,August,Puerto Rico,6.1
2023,July,Puerto Rico,6.8
2023,June,Puerto Rico,6.2
2023,May,Puerto Rico,6.1
2023,April,Puerto Rico,5.6
2023,March,Puerto Rico,5.8
2023,February,Puerto Rico,5.9
2023,January,Puerto Rico,5.7
2022,December,Puerto Rico,6.0
2022,November,Puerto Rico,6.2
2022,October,Puerto Rico,6.5
2022,September,Puerto Rico,6.3
2022,August,Puerto Rico,6.0
2022,July,Puerto Rico,5.7
2022,June,Puerto Rico,5.8
2022,May,Puerto Rico,5.9
2022,April,Puerto Rico,5.8
2022,March,Puerto Rico,5.8
2022,February,Puerto Rico,6.0
2022,January,Puerto Rico,6.4
2021,December,Puerto Rico,6.7
2021,November,Puerto Rico,7.3
2021,October,Puerto Rico,7.1
2021,September,Puerto Rico,7.9
2021,August,Puerto Rico,9.2
2021,July,Puerto Rico,9.3
2021,June,Puerto Rico,8.2
2021,May,Puerto Rico,8.1
2021,April,Puerto Rico,7.1
2021,March,Puerto Rico,7.4
2021,February,Puerto Rico,7.9
2021,January,Puerto Rico,9.1
2020,December,Puerto Rico,10.6
2020,November,Puerto Rico,9.5
2020,October,Puerto Rico,8.5
2020,September,Puerto Rico,9.4
2020,August,Puerto Rico,8.5
2020,July,Puerto Rico,7.3
2020,June,Puerto Rico,8.5
2020,May,Puerto Rico,9.6
2020,April,Puerto Rico,-
2020,March,Puerto Rico,-
2020,February,Puerto Rico,7.8
2020,January,Puerto Rico,9.6
